Year,Intervention,InterventionNum,Month,Season,SeasonNum,AvgTDHK,AvgTCTG,AvgTSYL,AvgTMym,AvgTRaj,AvgTRang,AvgTBar,AvgTKhul,AvgT,Rainfall,RabiesCase,ARV,MDV,RabiesCasePlus1
2015,After,2,12,Winter,3,19.95096774,20.01096774,18.47,19.55612903,19.39741935,19.17,20.33677419,20.04645161,19.61733871,1.55,9,18820,0,10
2016,After,2,1,Winter,3,18.89645161,18.86225806,17.35709677,18.28709677,18.17870968,17.81548387,19.40612903,19.30967742,18.5141129,45.12,7,21607,7970,8
2016,After,2,2,Winter,3,24.01275862,23.1962069,21.31931034,23.20586207,23.58206897,22.77517241,24.25862069,25.07172414,23.42771552,38.94,4,20400,3805,5
2016,After,2,3,Pre-monsoon,1,28.13419355,26.9916129,25.54774194,27.68193548,28.65935484,28.19967742,27.76774194,28.36935484,27.66895161,67.59,4,22783,17829,5
2016,After,2,4,Pre-monsoon,1,30.327,28.44033333,26.97266667,29.55266667,32.52333333,31.353,29.59,32.722,30.185125,145.3,6,20206,4730,7
2016,After,2,5,Pre-monsoon,1,29.36516129,28.55483871,27.59677419,28.80774194,31.54,29.93451613,29.29225806,30.32322581,29.42681452,494.03,5,19829,7901,6
2016,After,2,6,Monsoon,2,28.801,28.26866667,28.033,28.838,30.82266667,29.72333333,28.62933333,28.70666667,28.97783333,216.86,7,18560,6256,8
2016,After,2,7,Monsoon,2,28.22645161,27.96032258,27.67677419,28.24354839,28.83129032,28.80741935,28.18967742,28.04677419,28.24778226,545.59,4,17990,12124,5
2016,After,2,8,Monsoon,2,28.35064516,28.03451613,28.45129032,28.50064516,28.57354839,28.92645161,28.23193548,28.08354839,28.39407258,384.14,5,21360,9688,6
2016,After,2,9,Monsoon,2,27.983,28.13933333,27.47,27.97666667,27.995,28.028,28.155,27.896,27.955375,319.25,4,22570,0,5
2016,After,2,10,Monsoon,2,26.84935484,27.5016129,26.82806452,26.77870968,26.25225806,26.40387097,27.18032258,26.33645161,26.76633065,166.7,5,20180,0,6
2016,After,2,11,Winter,3,22.941,23.84133333,22.87933333,22.85733333,21.69166667,22.362,23.10866667,21.81333333,22.68683333,122.66,7,21950,0,8
2016,After,2,12,Winter,3,20.00580645,21.09677419,20.1883871,20.09806452,18.02064516,19.15225806,19.92645161,18.5483871,19.62959677,0.69,8,24182,0,9
2017,After,2,1,Winter,3,18.29290323,18.8116129,18.37548387,18.40419355,17.56451613,17.85193548,18.40516129,18.26064516,18.24580645,3.11,11,23413,0,12
2017,After,2,2,Winter,3,22.52464286,22.195,20.45214286,22.23142857,22.18071429,21.78821429,22.42321429,23.08714286,22.1103125,15,10,20287,0,11
2017,After,2,3,Pre-monsoon,1,24.97451613,24.1716129,22.81580645,24.63709677,25.81580645,25.2783871,24.88258065,26.17322581,24.84362903,235.76,4,21005,0,5
2017,After,2,4,Pre-monsoon,1,27.34733333,26.82933333,25.959,26.95066667,30.041,28.11433333,27.27433333,29.59066667,27.76333333,546.73,8,20567,0,9
2017,After,2,5,Pre-monsoon,1,28.48709677,28.40258065,28.05387097,28.39935484,29.61580645,28.86354839,28.62354839,29.44580645,28.73645161,389.06,6,20285,0,7
2017,After,2,6,Monsoon,2,28.33166667,28.05333333,27.83166667,28.41466667,29.76066667,29.316,28.479,28.61433333,28.60016667,700.69,6,17850,21644,7
2017,After,2,7,Monsoon,2,28.14580645,27.81,27.92741935,28.22903226,28.5183871,28.58870968,28.03290323,28.02967742,28.16024194,758.21,3,16556,0,4
2017,After,2,8,Monsoon,2,28.29580645,28.10064516,27.93483871,28.33935484,28.46806452,28.75193548,28.28225806,28.14290323,28.28947581,880.2,5,18540,12818,6
2017,After,2,9,Monsoon,2,28.11766667,28.13433333,27.711,28.17433333,28.112,28.318,28.11833333,27.796,28.06020833,541.88,6,18980,5958,7
